x,y_original,model5_ypred
1.0,-0.003157895,0.0
1.019730708,0.024210526,0.008323890300225593
1.043752189,0.048421053,0.030780460279506365
1.064576343,0.106666667,0.08218561370897223
1.086537688,0.216491228,0.2273513608241177
1.09904716,0.370877193,0.4046270395096272
1.108548698,0.600701754,0.6256795415877656
1.113807821,0.823859649,0.7956743234990344
1.122916593,1.190877193,1.2043946237655196
1.128582392,1.55122807,1.5567724095835795
1.131103634,1.777894737,1.7445556637037685
1.134753067,2.069473684,2.0564667398027594
1.14202142,2.83122807,2.8499495569418967
