x,y_original,model3_ypred,model6_ypred
1.0,-0.003157895,0.0,0.0
1.019730708,0.024210526,0.005412630739450992,0.007949693107918042
1.043752189,0.048421053,0.05827713085949609,0.03050463415685018
1.064576343,0.106666667,0.18667621746261376,0.08216540794220765
1.086537688,0.216491228,0.4540041636112722,0.22750736853711775
1.09904716,0.370877193,0.6916253012948306,0.4047595075903325
1.108548698,0.600701754,0.9269992000504138,0.6257242359626533
1.113807821,0.823859649,1.0818193365758026,0.7956526960482869
1.122916593,1.190877193,1.3990678376137207,1.2042652869071668
1.128582392,1.55122807,1.6328018009135943,1.5566191705750267
1.131103634,1.777894737,1.7470098070369533,1.7444150788595332
1.134753067,2.069473684,1.9244846489169172,2.0563835516725755
1.14202142,2.83122807,2.325456049938385,2.85019439599417
