x,y_original,model5_ypred
1.0,-0.003157895,0.0
1.019730708,0.024210526,0.006003784237619686
1.043752189,0.048421053,0.025742029897462437
1.064576343,0.106666667,0.07551011002109131
1.086537688,0.216491228,0.2212020828039929
1.09904716,0.370877193,0.40060284141442004
1.108548698,0.600701754,0.624234869735556
1.113807821,0.823859649,0.7958646016361897
1.122916593,1.190877193,1.2070788875838794
1.128582392,1.55122807,1.5600544512838397
1.131103634,1.777894737,1.7476198360093136
1.134753067,2.069473684,2.058413014781287
1.14202142,2.83122807,2.845281862550671
