x,y_original,model1_ypred,model6_ypred
1.0,-0.003157895,0.0,0.0
1.019730708,0.024210526,0.2150117991317472,0.007972196903130644
1.043752189,0.048421053,0.477012287663872,0.030550452818391846
1.064576343,0.106666667,0.7045381314092173,0.08222496755005518
1.086537688,0.216491228,0.9450749908155707,0.2275693055604936
1.09904716,0.370877193,1.0824221546036576,0.4048140214668608
1.108548698,0.600701754,1.1869296328152814,0.6257674983531634
1.113807821,0.823859649,1.2448489354116654,0.7956874435776655
1.122916593,1.190877193,1.3452973449402992,1.2042815399914195
1.128582392,1.55122807,1.4078664712100524,1.5566219371668522
1.131103634,1.777894737,1.4357319761541927,1.744411534961862
1.134753067,2.069473684,1.4760919055845254,2.0563707611475674
1.14202142,2.83122807,1.5565659035402106,2.8501641695633655
