x,y_original,model1_ypred
1.0,-0.003157895,0.0
1.019730708,0.024210526,0.21501179930883477
1.043752189,0.048421053,0.4770122880567479
1.064576343,0.106666667,0.7045381319894874
1.086537688,0.216491228,0.9450749915939514
1.09904716,0.370877193,1.0824221554951599
1.108548698,0.600701754,1.1869296337928579
1.113807821,0.823859649,1.2448489364369453
1.122916593,1.190877193,1.3452973460483102
1.128582392,1.55122807,1.4078664723695964
1.131103634,1.777894737,1.4357319773366872
1.134753067,2.069473684,1.4760919068002611
1.14202142,2.83122807,1.556565904822226
