x,y_original,model6_ypred
1.0,-0.003157895,0.0
1.019730708,0.024210526,0.007959903298250208
1.043752189,0.048421053,0.03052590846568685
1.064576343,0.106666667,0.08219333869817926
1.086537688,0.216491228,0.22753617829724634
1.09904716,0.370877193,0.4047843217761247
1.108548698,0.600701754,0.6257432594932515
1.113807821,0.823859649,0.7956674723863647
1.122916593,1.190877193,1.2042712592639837
1.128582392,1.55122807,1.5566191793705657
1.131103634,1.777894737,1.7444124753370593
1.134753067,2.069473684,2.0563773988187424
1.14202142,2.83122807,2.8501830802114267
