x,y_original,model1_ypred
1.0,-0.003157895,0.0
1.019730708,0.024210526,0.2150117991317472
1.043752189,0.048421053,0.477012287663872
1.064576343,0.106666667,0.7045381314092173
1.086537688,0.216491228,0.9450749908155707
1.09904716,0.370877193,1.0824221546036576
1.108548698,0.600701754,1.1869296328152814
1.113807821,0.823859649,1.2448489354116654
1.122916593,1.190877193,1.3452973449402992
1.128582392,1.55122807,1.4078664712100524
1.131103634,1.777894737,1.4357319761541927
1.134753067,2.069473684,1.4760919055845254
1.14202142,2.83122807,1.5565659035402106
